ENSG00000007202 ENSG00000121060
ENSG00000062650 ENSG00000065613
ENSG00000104299 ENSG00000158856
ENSG00000075218 ENSG00000131747
ENSG00000160654 ENSG00000182866
ENSG00000153563 ENSG00000167286
ENSG00000116521 ENSG00000158850
ENSG00000177646 ENSG00000181789
ENSG00000148308 ENSG00000167118
ENSG00000067248 ENSG00000164151
ENSG00000163636 ENSG00000174840
ENSG00000112742 ENSG00000164611
ENSG00000079215 ENSG00000171659
ENSG00000155975 ENSG00000158856
ENSG00000128585 ENSG00000157741
ENSG00000136929 ENSG00000223609
ENSG00000165732 ENSG00000197771
ENSG00000123485 ENSG00000175063
ENSG00000147419 ENSG00000158941
ENSG00000005844 ENSG00000105374
ENSG00000158578 ENSG00000223609
ENSG00000143751 ENSG00000174606
ENSG00000131747 ENSG00000170312
ENSG00000129696 ENSG00000198042
ENSG00000159339 ENSG00000163464
ENSG00000117399 ENSG00000148773
ENSG00000171222 ENSG00000213638
ENSG00000196126 ENSG00000196735
ENSG00000204961 ENSG00000250120
ENSG00000170561 ENSG00000186493
ENSG00000012817 ENSG00000114374
ENSG00000116747 ENSG00000163159
ENSG00000174953 ENSG00000205981
ENSG00000061918 ENSG00000164116
ENSG00000081052 ENSG00000169031
ENSG00000066279 ENSG00000088325
ENSG00000165916 ENSG00000185627
ENSG00000154133 ENSG00000179776
ENSG00000173273 ENSG00000197265
ENSG00000133392 ENSG00000141052
ENSG00000119231 ENSG00000163904
ENSG00000112984 ENSG00000237649
ENSG00000140287 ENSG00000163751
ENSG00000036054 ENSG00000114021
ENSG00000067167 ENSG00000164751
ENSG00000112077 ENSG00000136929
ENSG00000160221 ENSG00000241945
ENSG00000106344 ENSG00000146909
ENSG00000083168 ENSG00000120925
ENSG00000107938 ENSG00000156502
ENSG00000147457 ENSG00000168495
ENSG00000131747 ENSG00000165480
ENSG00000153563 ENSG00000271503
ENSG00000152969 ENSG00000188389
ENSG00000080822 ENSG00000114021
ENSG00000142609 ENSG00000187730
ENSG00000176681 ENSG00000228696
ENSG00000154133 ENSG00000204301
ENSG00000004939 ENSG00000166947
ENSG00000130717 ENSG00000148308
ENSG00000104613 ENSG00000147419
ENSG00000132394 ENSG00000206527
ENSG00000110777 ENSG00000170476
ENSG00000104756 ENSG00000184661
ENSG00000072840 ENSG00000173040
ENSG00000136518 ENSG00000168827
ENSG00000154080 ENSG00000171885
ENSG00000085788 ENSG00000147548
ENSG00000011465 ENSG00000139329
ENSG00000130234 ENSG00000147003
ENSG00000143569 ENSG00000163125
ENSG00000066422 ENSG00000169379
ENSG00000172673 ENSG00000198851
ENSG00000167711 ENSG00000167716
ENSG00000000971 ENSG00000116785
ENSG00000120156 ENSG00000127329
ENSG00000085274 ENSG00000120742
ENSG00000036054 ENSG00000138459
ENSG00000117399 ENSG00000237649
ENSG00000036054 ENSG00000169379
ENSG00000123485 ENSG00000166851
ENSG00000164611 ENSG00000175063
ENSG00000083168 ENSG00000147475
ENSG00000133742 ENSG00000169877
ENSG00000079459 ENSG00000154328
ENSG00000111206 ENSG00000168078
ENSG00000160654 ENSG00000198851
ENSG00000109536 ENSG00000139168
ENSG00000143546 ENSG00000163221
ENSG00000114541 ENSG00000144747
ENSG00000157538 ENSG00000160294
ENSG00000147475 ENSG00000158941
