ENSG00000113013 ENSG00000113312
ENSG00000117650 ENSG00000143228
ENSG00000113522 ENSG00000155506
ENSG00000012048 ENSG00000166803
ENSG00000154328 ENSG00000158941
ENSG00000168282 ENSG00000172780
ENSG00000104979 ENSG00000126267
ENSG00000164253 ENSG00000164347
ENSG00000152359 ENSG00000164252
ENSG00000104979 ENSG00000130165
ENSG00000125686 ENSG00000160551
ENSG00000185453 ENSG00000264364
ENSG00000076242 ENSG00000164062
ENSG00000102245 ENSG00000168685
ENSG00000112983 ENSG00000145868
ENSG00000115268 ENSG00000136942
ENSG00000089685 ENSG00000158402
ENSG00000075218 ENSG00000111206
ENSG00000159086 ENSG00000160208
ENSG00000224916 ENSG00000234906
ENSG00000107796 ENSG00000198523
ENSG00000104695 ENSG00000158941
ENSG00000066279 ENSG00000117399
ENSG00000024862 ENSG00000120265
ENSG00000134759 ENSG00000153339
ENSG00000185453 ENSG00000234857
ENSG00000107938 ENSG00000148606
ENSG00000131495 ENSG00000170445
ENSG00000055044 ENSG00000163510
ENSG00000162618 ENSG00000167680
ENSG00000129691 ENSG00000130227
ENSG00000079134 ENSG00000172175
ENSG00000129691 ENSG00000158941
ENSG00000162745 ENSG00000204262
ENSG00000130363 ENSG00000169976
ENSG00000112984 ENSG00000164611
ENSG00000028839 ENSG00000071994
ENSG00000107796 ENSG00000133392
ENSG00000113068 ENSG00000146066
ENSG00000116661 ENSG00000132879
ENSG00000112282 ENSG00000169976
ENSG00000163798 ENSG00000196504
ENSG00000122490 ENSG00000134758
ENSG00000113163 ENSG00000152942
ENSG00000117724 ENSG00000143228
ENSG00000111206 ENSG00000169607
ENSG00000120925 ENSG00000147475
ENSG00000012048 ENSG00000101412
ENSG00000034693 ENSG00000112339
ENSG00000117305 ENSG00000158006
ENSG00000036054 ENSG00000174173
ENSG00000136891 ENSG00000165275
ENSG00000127914 ENSG00000144674
ENSG00000116747 ENSG00000143376
ENSG00000126860 ENSG00000185862
ENSG00000066336 ENSG00000167600
ENSG00000075336 ENSG00000172466
ENSG00000143228 ENSG00000169607
ENSG00000122692 ENSG00000122729
ENSG00000113141 ENSG00000120727
ENSG00000109943 ENSG00000183918
ENSG00000072062 ENSG00000104897
ENSG00000165434 ENSG00000175538
ENSG00000076201 ENSG00000164068
ENSG00000142945 ENSG00000186185
ENSG00000120925 ENSG00000168615
ENSG00000092203 ENSG00000134001
ENSG00000065427 ENSG00000102978
ENSG00000120889 ENSG00000147419
ENSG00000087191 ENSG00000198231
ENSG00000144468 ENSG00000144535
ENSG00000131153 ENSG00000187741
ENSG00000026950 ENSG00000240065
ENSG00000166986 ENSG00000184575
ENSG00000103479 ENSG00000135720
ENSG00000141380 ENSG00000175387
ENSG00000115523 ENSG00000198574
ENSG00000104388 ENSG00000164751
ENSG00000080986 ENSG00000148773
ENSG00000089685 ENSG00000165480
ENSG00000083937 ENSG00000163320
ENSG00000091164 ENSG00000153339
ENSG00000131080 ENSG00000134574
ENSG00000154719 ENSG00000241837
ENSG00000113638 ENSG00000172007
ENSG00000085231 ENSG00000134056
ENSG00000133302 ENSG00000185261
ENSG00000121211 ENSG00000165304
ENSG00000116977 ENSG00000119285
ENSG00000126457 ENSG00000167085
ENSG00000138375 ENSG00000144524
ENSG00000075702 ENSG00000127564
ENSG00000024526 ENSG00000134690
ENSG00000080819 ENSG00000182504
ENSG00000134970 ENSG00000169570
ENSG00000168282 ENSG00000175602
ENSG00000080986 ENSG00000164611
ENSG00000116754 ENSG00000162601
ENSG00000119285 ENSG00000173409
ENSG00000145649 ENSG00000180644
