ENSG00000140688 ENSG00000162065
ENSG00000120688 ENSG00000136147
ENSG00000112658 ENSG00000179820
ENSG00000169228 ENSG00000175416
ENSG00000143437 ENSG00000158793
ENSG00000125834 ENSG00000185019
ENSG00000163820 ENSG00000166803
ENSG00000148341 ENSG00000187742
ENSG00000005175 ENSG00000111364
ENSG00000108061 ENSG00000122882
ENSG00000090432 ENSG00000157191
ENSG00000141456 ENSG00000167721
ENSG00000012983 ENSG00000151748
ENSG00000099917 ENSG00000183530
ENSG00000143612 ENSG00000159352
ENSG00000184470 ENSG00000186854
ENSG00000166508 ENSG00000198453
ENSG00000130741 ENSG00000205339
ENSG00000104903 ENSG00000146966
ENSG00000130748 ENSG00000233493
ENSG00000008018 ENSG00000100150
ENSG00000008018 ENSG00000197498
ENSG00000028310 ENSG00000132356
ENSG00000117751 ENSG00000117758
ENSG00000132950 ENSG00000136146
ENSG00000130714 ENSG00000176248
ENSG00000142173 ENSG00000164692
ENSG00000140396 ENSG00000167904
ENSG00000111540 ENSG00000186908
ENSG00000101367 ENSG00000142552
ENSG00000074181 ENSG00000130528
ENSG00000064601 ENSG00000101158
ENSG00000103479 ENSG00000172775
ENSG00000083845 ENSG00000101444
ENSG00000178988 ENSG00000179010
ENSG00000179388 ENSG00000276070
ENSG00000124782 ENSG00000148737
ENSG00000132383 ENSG00000197879
ENSG00000008018 ENSG00000120265
ENSG00000104388 ENSG00000164919
ENSG00000120253 ENSG00000120438
ENSG00000133119 ENSG00000139505
ENSG00000159445 ENSG00000275023
ENSG00000143183 ENSG00000143379
ENSG00000173442 ENSG00000174791
ENSG00000119335 ENSG00000136891
ENSG00000115233 ENSG00000138430
ENSG00000024526 ENSG00000134222
ENSG00000126003 ENSG00000186625
ENSG00000143379 ENSG00000143575
ENSG00000130177 ENSG00000134900
ENSG00000117475 ENSG00000134371
ENSG00000141452 ENSG00000141627
ENSG00000070495 ENSG00000143942
ENSG00000169682 ENSG00000171222
ENSG00000099899 ENSG00000242114
ENSG00000145041 ENSG00000182973
ENSG00000119673 ENSG00000167996
ENSG00000114686 ENSG00000166704
ENSG00000103479 ENSG00000197912
ENSG00000028839 ENSG00000120438
ENSG00000122642 ENSG00000158604
ENSG00000100385 ENSG00000189430
ENSG00000100796 ENSG00000140153
ENSG00000153443 ENSG00000182831
ENSG00000143575 ENSG00000158796
ENSG00000089289 ENSG00000115268
ENSG00000104714 ENSG00000134014
ENSG00000179588 ENSG00000261221
ENSG00000028839 ENSG00000085511
ENSG00000187837 ENSG00000196866
ENSG00000116539 ENSG00000158711
ENSG00000167232 ENSG00000213096
ENSG00000112658 ENSG00000196428
ENSG00000065328 ENSG00000169679
ENSG00000141027 ENSG00000171953
ENSG00000113068 ENSG00000213585
ENSG00000116586 ENSG00000159377
ENSG00000105514 ENSG00000185924
ENSG00000143368 ENSG00000143379
ENSG00000110172 ENSG00000120694
ENSG00000120279 ENSG00000149564
ENSG00000088325 ENSG00000198826
ENSG00000063177 ENSG00000089157
ENSG00000163071 ENSG00000188976
ENSG00000122033 ENSG00000136141
ENSG00000169679 ENSG00000198901
ENSG00000113638 ENSG00000168724
ENSG00000160185 ENSG00000186810
ENSG00000092108 ENSG00000092203
ENSG00000120733 ENSG00000131507
