ENSG00000168538 ENSG00000182552
ENSG00000104765 ENSG00000158941
ENSG00000160221 ENSG00000280071
ENSG00000125810 ENSG00000179776
ENSG00000077984 ENSG00000180644
ENSG00000242419 ENSG00000253767
ENSG00000092201 ENSG00000155463
ENSG00000159189 ENSG00000171860
ENSG00000133706 ENSG00000145912
ENSG00000144744 ENSG00000144747
ENSG00000111432 ENSG00000204950
ENSG00000163605 ENSG00000187098
ENSG00000167904 ENSG00000185728
ENSG00000049618 ENSG00000120438
ENSG00000113460 ENSG00000164151
ENSG00000101558 ENSG00000154845
ENSG00000147419 ENSG00000173273
ENSG00000145868 ENSG00000170445
ENSG00000120662 ENSG00000120699
ENSG00000072210 ENSG00000180638
ENSG00000024526 ENSG00000075218
ENSG00000104756 ENSG00000198791
ENSG00000065328 ENSG00000094804
ENSG00000147439 ENSG00000158941
ENSG00000114013 ENSG00000169413
ENSG00000068079 ENSG00000126709
ENSG00000099958 ENSG00000102096
ENSG00000167286 ENSG00000271503
ENSG00000088325 ENSG00000138160
ENSG00000037280 ENSG00000204301
ENSG00000171649 ENSG00000213762
ENSG00000113088 ENSG00000172116
ENSG00000118217 ENSG00000143183
ENSG00000144744 ENSG00000172340
ENSG00000123737 ENSG00000174720
ENSG00000141452 ENSG00000141458
ENSG00000185745 ENSG00000187608
ENSG00000188536 ENSG00000206172
ENSG00000171860 ENSG00000196664
ENSG00000243955 ENSG00000244067
ENSG00000104299 ENSG00000129691
ENSG00000114021 ENSG00000114391
ENSG00000083814 ENSG00000196724
ENSG00000104299 ENSG00000104643
ENSG00000085840 ENSG00000167900
ENSG00000113845 ENSG00000196981
ENSG00000088325 ENSG00000183856
ENSG00000104756 ENSG00000147316
ENSG00000117399 ENSG00000166851
ENSG00000167332 ENSG00000180785
ENSG00000068079 ENSG00000187608
ENSG00000135253 ENSG00000272899
ENSG00000162772 ENSG00000184545
ENSG00000119917 ENSG00000185745
ENSG00000164611 ENSG00000171848
ENSG00000110777 ENSG00000167077
ENSG00000066279 ENSG00000117650
ENSG00000094880 ENSG00000113312
ENSG00000141933 ENSG00000213638
ENSG00000119917 ENSG00000134321
ENSG00000020181 ENSG00000161381
ENSG00000158373 ENSG00000180596
ENSG00000148110 ENSG00000197724
ENSG00000085231 ENSG00000131732
ENSG00000131153 ENSG00000167513
ENSG00000143226 ENSG00000203747
ENSG00000083937 ENSG00000175105
ENSG00000175105 ENSG00000179021
ENSG00000001631 ENSG00000197343
ENSG00000134444 ENSG00000141644
ENSG00000122877 ENSG00000179388
ENSG00000111843 ENSG00000137210
ENSG00000130748 ENSG00000213638
ENSG00000138160 ENSG00000171848
ENSG00000127774 ENSG00000141933
ENSG00000185829 ENSG00000238083
ENSG00000138161 ENSG00000213185
ENSG00000181029 ENSG00000213638
ENSG00000129691 ENSG00000175324
ENSG00000113088 ENSG00000188389
ENSG00000157601 ENSG00000185745
ENSG00000104756 ENSG00000134014
ENSG00000224916 ENSG00000234906
ENSG00000120963 ENSG00000167904
ENSG00000063177 ENSG00000140988
ENSG00000136908 ENSG00000187713
ENSG00000077984 ENSG00000105374
ENSG00000134759 ENSG00000141425
ENSG00000066279 ENSG00000117399
ENSG00000154133 ENSG00000198844
ENSG00000145907 ENSG00000170606
ENSG00000142945 ENSG00000146670
ENSG00000139684 ENSG00000165416
ENSG00000147471 ENSG00000198042
ENSG00000130748 ENSG00000142694
ENSG00000088325 ENSG00000186185
ENSG00000156970 ENSG00000169679
ENSG00000126216 ENSG00000139842
ENSG00000141933 ENSG00000175602
